rank,total_error_pct,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,π_к_полн,η_к_полн,err_π_к_pct,err_η_к_pct
153,8.385049822840207,0.35,0.45,0.55,0.25,0.22,18.617944660214466,0.829132316670329,2.2963992319476185,6.088650590892588
154,8.385710603356674,0.55,0.55,0.45,0.25,0.25,17.82389543368078,0.8270968052775961,2.066508606149564,6.31920199720711
155,8.386878083388488,0.3,0.5,0.55,0.25,0.16,17.835974765929965,0.8265005251440124,2.0001386487364523,6.3867394346520365
156,8.392117465525237,0.6,0.45,0.4,0.3,0.15,17.8769878034636,0.8244647106036608,1.7747922886615382,6.617325176863699
157,8.394370041709585,0.6,0.5,0.55,0.25,0.25,17.847072956912772,0.8258960024340308,1.9391595774023482,6.455210464307237
158,8.40125254296606,0.35,0.55,0.45,0.25,0.17,18.571047178471485,0.8267142516758954,2.0387207608323377,6.362531782133721
159,8.405327802681132,0.45,0.6,0.4,0.25,0.25,18.355651105138815,0.8162293336025112,0.855225852411075,7.550101950270058
160,8.410619598733039,0.35,0.45,0.6,0.25,0.25,18.49452077797539,0.8229192288568292,1.6182460328318098,6.792373565901228
161,8.415664275408545,0.4,0.5,0.55,0.25,0.18,17.83330178260169,0.826376042569115,2.0148253703203776,6.400838905088167
162,8.419425414461047,0.6,0.45,0.35,0.3,0.18,18.11063435263991,0.8128893369342436,0.49102004044005443,7.9284053740209925
163,8.430926484281043,0.55,0.45,0.45,0.3,0.16,17.738891068962968,0.8308211907138622,2.533565555148526,5.897360929132517
164,8.431556019715433,0.45,0.45,0.35,0.3,0.22,18.127218096774094,0.8119777540708558,0.3999005671753056,8.031655452540127
165,8.435538404815153,0.6,0.4,0.6,0.25,0.25,18.412513597410086,0.8187210269152576,1.1676571286268524,7.267881276188301
166,8.448711648468626,0.3,0.45,0.6,0.25,0.16,17.885167101741708,0.8235682665928116,1.7298510893312735,6.718860559137352
167,8.45090701781659,0.4,0.45,0.6,0.25,0.15,17.887219382895953,0.8234493270644467,1.718574819253001,6.73233219856359
168,8.454620822778733,0.6,0.55,0.45,0.25,0.22,17.814873720778216,0.8269260514285431,2.1160784572625446,6.338542365516188
169,8.456149184940525,0.45,0.5,0.35,0.3,0.18,17.947705428625433,0.8204688455671159,1.3862339086514635,7.069915276289061
170,8.458591886004557,0.35,0.5,0.35,0.3,0.17,17.95174900505577,0.8202511239527864,1.3640164557375214,7.094575430267036
171,8.468637303647945,0.35,0.6,0.4,0.25,0.17,18.021464603269592,0.8167805063325232,0.9809637182989389,7.487673585349007
172,8.476175039289343,0.35,0.45,0.4,0.3,0.23,17.871767719731942,0.823975804188193,1.8034740674069096,6.672700971882432
173,8.479958699876118,0.55,0.45,0.6,0.25,0.19,17.887512598502898,0.8231786091718801,1.7169637444895678,6.76299495538655
174,8.483015920722043,0.5,0.6,0.4,0.25,0.23,18.025237124072966,0.8164705529144934,0.9602355820166673,7.522780338705375
175,8.493610115768593,0.35,0.5,0.5,0.25,0.21,18.681915421180133,0.8312770943047327,2.647886929561172,5.845723186207421
176,8.49629879930037,0.5,0.5,0.55,0.25,0.21,18.562427592744218,0.8254569603112455,1.9913603996935079,6.5049383996068615
177,8.510558272405767,0.55,0.4,0.4,0.3,0.2,18.177247156343483,0.8088533254262777,0.12501562448635092,8.385542647919417
178,8.51756380201225,0.35,0.4,0.4,0.3,0.21,18.21417609602163,0.8083754134281762,0.07789063748149665,8.439673164530753
179,8.524703943332904,0.6,0.45,0.35,0.3,0.15,18.304486012280947,0.8126933392566188,0.5740989685766343,7.950604974756269
180,8.526037584574494,0.45,0.4,0.6,0.25,0.19,18.43672136380833,0.819096347373322,1.3006668341117147,7.22537075046278
181,8.543649512553428,0.5,0.45,0.6,0.25,0.17,18.5133358487902,0.8226574489102292,1.7216255428032936,6.822023969750133
182,8.553996689965587,0.35,0.45,0.35,0.3,0.23,18.28456535573656,0.8114683590787306,0.4646448117393492,8.089351878226235
