T_K,v,i,s,c_p, p_bar
1250,103.6,1339.8,7.376,1.184,35
1300,107.7,1399.2,7.422,1.190,35
75,1.1102,-128.9,2.897,1.813,40
80,1.1373,-120.0,3.011,1.834,40
85,1.1672,-110.8,3.120,1.858,40
90,1.2003,-101.4,3.225,1.886,40
95,1.2371,-91.9,3.327,1.919,40
100,1.2787,-82.2,3.424,1.958,40
105,1.3261,-72.3,3.519,2.010,40
110,1.3814,-62.1,3.613,2.036,40
115,1.4479,-51.4,3.708,2.208,40
120,1.5325,-39.8,3.807,2.432,40
125,1.6536,-26.6,3.916,2.962,40
130,1.871,-5.8,4.080,4.821,40
135,4.314,59.9,4.572,8.684,40
140,5.883,83.6,4.745,3.193,40
145,6.852,97.0,4.839,2.341,40
150,7.638,107.7,4.912,1.966,40
160,8.959,125.3,5.025,1.610,40
170,10.10,140.5,5.117,1.437,40
180,11.14,154.3,5.196,1.335,40
190,12.12,167.3,5.266,1.268,40
200,13.06,179.7,5.330,1.221,40
210,13.96,191.8,5.389,1.186,40
220,14.83,203.5,5.444,1.159,40
230,15.69,215.0,5.495,1.139,40
240,16.53,226.3,5.543,1.122,40
250,17.35,237.4,5.589,1.108,40
260,18.17,248.5,5.632,1.097,40
270,18.98,259.4,5.673,1.088,40
280,19.77,270.2,5.712,1.081,40
290,20.56,281.0,5.750,1.074,40
300,21.35,291.7,5.786,1.068,40
310,22.13,302.4,5.821,1.064,40
320,22.91,313.0,5.855,1.060,40
330,23.68,323.6,5.888,1.056,40
340,24.45,334.1,5.919,1.053,40
350,25.21,344.6,5.950,1.051,40
375,27.11,370.8,6.022,1.047,40
400,28.99,397.0,6.090,1.044,40
425,30.85,423.1,6.153,1.044,40
450,32.72,449.2,6.212,1.044,40
475,34.57,475.3,6.269,1.046,40
500,36.42,501.5,6.323,1.049,40
550,40.10,554.0,6.423,1.055,40
600,43.76,606.9,6.515,1.063,40
650,47.41,660.3,6.600,1.073,40
700,51.05,714.2,6.680,1.083,40
750,54.68,768.7,6.755,1.094,40
800,58.31,823.7,6.826,1.105,40
850,61.93,879.2,6.894,1.116,40
900,65.55,935.2,6.958,1.126,40
950,69.17,991.8,7.019,1.136,40
1000,72.78,1048.8,7.077,1.145,40
1050,76.39,1106.3,7.133,1.154,40
1100,80.00,1164.2,7.187,1.162,40
1150,83.60,1222.5,7.239,1.170,40
1200,87.20,1281.2,7.289,1.177,40
1250,90.80,1340.2,7.337,1.184,40
1300,94.40,1399.6,7.384,1.191,40
75,1.1091,-128.6,2.894,1.809,45
80,1.1360,-119.6,3.008,1.830,45
85,1.1656,-110.4,3.117,1.853,45
90,1.1983,-101.4,3.221,1.879,45
95,1.2347,-91.6,3.323,1.910,45
100,1.2755,-82.0,3.420,1.946,45
105,1.3219,-72.1,3.514,1.994,45
110,1.3757,-62.0,3.607,2.063,45
115,1.4396,-51.5,3.701,2.170,45
120,1.5194,-40.2,3.798,2.360,45
125,1.6285,-27.5,3.902,2.758,45
130,1.806,-10.6,4.042,3.713,45
135,2.288,17.4,4.246,8.672,45
140,4.418,68.4,4.618,5.178,45
145,5.543,87.3,4.751,2.960,45
150,6.360,100.2,4.838,2.290,45
160,7.656,120.0,4.966,1.756,45
170,8.740,136.3,5.065,1.524,45
180,9.713,150.8,5.148,1.394,45
190,10.62,164.3,5.221,1.311,45
200,11.47,177.1,5.287,1.254,45
210,12.29,189.4,5.347,1.213,45
220,13.09,201.4,5.402,1.181,45
230,13.87,213.1,5.454,1.157,45
240,14.63,224.6,5.503,1.138,45
250,15.37,235.9,5.549,1.122,45
260,16.11,247.0,5.593,1.110,45
270,16.83,258.0,5.635,1.099,45
280,17.55,269.0,5.675,1.090,45
290,18.26,279.9,5.713,1.083,45
300,18.97,290.7,5.749,1.076,45
310,19.67,301.4,5.785,1.071,45
320,20.36,312.1,5.818,1.066,45
330,21.05,322.7,5.851,1.062,45
340,21.74,333.3,5.883,1.059,45
350,22.42,343.9,5.913,1.056,45
375,24.12,370.2,5.986,1.051,45
400,25.81,396.5,6.054,1.048,45
425,27.48,422.7,6.117,1.047,45
450,29.14,448.8,6.177,1.047,45
475,30.79,475.0,6.234,1.048,45
500,32.44,501.2,6.288,1.050,45
550,35.72,553.9,6.388,1.056,45
600,38.98,606.9,6.480,1.065,45
650,42.23,660.4,6.566,1.074,45
700,45.47,714.3,6.646,1.084,45
750,48.71,768.8,6.721,1.095,45
800,51.94,823.8,6.792,1.106,45
850,55.16,879.4,6.860,1.116,45
900,58.38,935.5,6.924,1.126,45
950,61.60,992.1,6.985,1.136,45
1000,64.81,1049.1,7.043,1.145,45
1050,68.02,1106.6,7.099,1.154,45
1100,71.23,1164.5,7.153,1.162,45
1150,74.43,1222.8,7.205,1.170,45
1200,77.64,1281.5,7.255,1.177,45
1250,80.84,1340.6,7.303,1.184,45
1300,84.04,1399.9,7.350,1.191,45
75,1.1080,-128.2,2.892,1.806,50
80,1.1347,-119.3,3.005,1.826,50
85,1.1640,-110.1,3.114,1.848,50
90,1.1963,-100.8,3.218,1.873,50
95,1.2322,-91.4,3.319,1.902,50
100,1.2724,-81.8,3.415,1.939,50
105,1.3179,-72.0,3.509,1.980,50
110,1.3702,-62.0,3.601,2.042,50
115,1.4318,-51.6,3.694,2.138,50
120,1.5075,-40.5,3.789,2.300,50
125,1.6073,-28.3,3.889,2.614,50
130,1.757,-13.5,4.012,3.204,50
135,2.054,9.2,4.177,5.023,50
140,3.130,47.0,4.452,8.694,50
145,4.453,75.8,4.654,3.931,50
150,5.321,91.9,4.764,2.721,50
160,6.612,114.4,4.909,1.927,50
170,7.653,131.9,5.015,1.620,50
180,8.571,147.2,5.103,1.457,50
190,9.415,161.3,5.179,1.356,50
200,10.21,174.5,5.246,1.288,50
210,10.97,187.1,5.308,1.240,50
220,11.70,199.3,5.365,1.204,50
230,12.41,211.2,5.418,1.176,50
240,13.11,222.8,5.467,1.154,50
250,13.79,234.3,5.514,1.136,50
260,14.46,245.6,5.558,1.122,50
270,15.12,256.7,5.600,1.110,50
280,15.77,267.7,5.640,1.100,50
290,16.42,278.7,5.679,1.091,50
300,17.06,289.6,5.716,1.084,50
310,17.70,300.4,5.751,1.078,50
320,18.33,311.2,5.785,1.073,50
330,18.96,321.9,5.818,1.069,50
340,19.58,332.6,5.850,1.065,50
350,20.20,343.2,5.881,1.061,50
375,21.74,369.6,5.954,1.055,50
400,23.26,395.9,6.022,1.052,50
425,24.77,422.2,6.086,1.050,50
