η_к_полн,π_к_полн,η_к_полн_0,π_к_полн_0,pi_rel_error,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,R_ср1,D_type,N_stupeney
0.8671889639046663,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.12000000000000001,0.186,0.5,D_вт_const,37
0.8671889626140136,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.12000000000000001,0.19133333333333333,0.5,D_вт_const,37
0.8671889585317295,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.12000000000000001,0.20866666666666667,0.5,D_вт_const,37
0.8671889573098839,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.12000000000000001,0.214,0.5,D_вт_const,37
0.8671889561040044,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.12000000000000001,0.21933333333333335,0.5,D_вт_const,37
0.8671889549140097,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.12000000000000001,0.22466666666666668,0.5,D_вт_const,37
0.867188951155274,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.12000000000000001,0.242,0.5,D_вт_const,37
0.8671889500319165,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.12000000000000001,0.24733333333333332,0.5,D_вт_const,37
0.8671889494760482,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.12000000000000001,0.25,0.5,D_вт_const,37
0.8671889335147079,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.1,0.15,0.5,D_вт_const,44
0.867188932816638,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.1,0.15266666666666667,0.5,D_вт_const,44
0.8671889314331576,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.1,0.158,0.5,D_вт_const,44
